,id,title,rating,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
3204,404378,A Street Cat Named Bob,7.915,1289,Released,2016-11-04,17900000,103,False,/9ueD5NSVOn0dWTL93WciT9JoKN3.jpg,8000000,tt3606888,en,A Street Cat Named Bob,"James Bowen, a homeless busker and recovering drug addict, has his life transformed when he meets a stray ginger cat.",19.039,/nBYG0D2FcbL1m926sIj7RN4m0sb.jpg,Sometimes it takes nine lives to save one,"Family, Drama","Iris Productions, Shooting Script Films, Prescience, Stage 6 Films","United Kingdom, United States of America",English,"based on novel or book, cat, drug addiction, human animal relationship, biography, addiction, recovering addict, moral transformation, street musician, busker, unlucky"
3212,4960,"Synecdoche, New York",7.589,1286,Released,2008-10-24,4383538,124,False,/z49xfB5s3A7G8vnXDfzFWJup046.jpg,20000000,tt0383028,en,"Synecdoche, New York","A theater director struggles with his work, and the women in his life, as he attempts to create a life-size replica of New York inside a warehouse as part of his new play.",18.315,/5UwdhrjXhUgsiDhe1dpS9z4yj7q.jpg,,Drama,"Likely Story, Projective Testing Service, Sony Pictures Classics, Mandate International, Sidney Kimmel Entertainment",United States of America,"German, English","depression, new york city, nihilism, philosophy, surreal, surrealism, man woman relationship, theater director, romance, writer, divorce, magic realism, existentialism, meaningless existence, philosophical"
3213,664767,Mortal Kombat Legends: Scorpion's Revenge,8.149,1286,Released,2020-04-12,0,80,False,/vw3zNfzvnVNF7nIjpiEgcdznfeC.jpg,0,tt9580138,en,Mortal Kombat Legends: Scorpion's Revenge,"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.",147.018,/4VlXER3FImHeFuUjBShFamhIp9M.jpg,Extreme violence. Bad language. And a bloody good time.,"Animation, Action, Fantasy",Warner Bros. Animation,United States of America,English,"magic, ninja fighter, revenge, sorcerer, tournament, shaolin monk, fighting, based on video game, adult animation, god of thunder"
3218,335578,Land of Mine,7.815,1284,Released,2015-12-03,0,100,False,/vkzeh2G7Gwapo4J1eqGWRph2hCs.jpg,5070773,tt3841424,da,Under sandet,"In the days following the surrender of Germany in May 1945, a group of young German prisoners of war is handed over to the Danish authorities and subsequently sent to the West Coast, where they are ordered to remove the more than two million mines that the Germans had placed in the sand along the coast. With their bare hands, crawling around in the sand, the boys are forced to perform the dangerous work under the leadership of a Danish sergeant.",11.351,/7TOYH2VDnYbXpBKlrkdQZUSC3Du.jpg,"They survived the second World War, now they must survive the cleanup","War, Drama, History","Nordisk Film Denmark, Amusement Park Films, Majgaard, K5 International, K5 Film, ZDF, Goethe Filmproduktion, Erfttal Film","Germany, Denmark","Danish, English, German","beach, prisoner of war, post world war ii, land mine, 1940s, minefield, sudden death, boy soldier, meager rations"
3219,336804,Mustang,7.78,1283,Released,2015-06-17,5274664,97,False,/nBxP0PY7yGfId9E12yo5R7x27ZQ.jpg,1300000,tt3966404,tr,Mustang,"In a Turkish village, five orphaned sisters live under strict rule while members of their family prepare their arranged marriages.",11.782,/sXg3JjxCkgWw5B4VVk8lfcYImne.jpg,Their spirit would never be broken.,Drama,"CG Cinéma, Vistamar Filmproduktion, Uhlandfilm, Bam Film, Kinology, Ciné+, ZDF/Arte, Turkish Culture Ministry, Film- und Medienstiftung NRW, DFI, CNC, Canal+, FFA","France, Germany, Qatar, Turkey",Turkish,"sibling relationship, arranged marriage, sexism, turkey, run away, sexual violence, teenage girl, gang, female protagonist, teenage sexuality, teen suicide, woman director, abusive family, sisters, conservative values"
3236,288,High Noon,7.7,1278,Released,1952-06-09,8000000,85,False,/jyUcUMvLdUon3HPjbUdAsm754G6.jpg,730000,tt0044706,en,High Noon,"Will Kane, the sheriff of a small town in New Mexico, learns a notorious outlaw he put in jail has been freed, and will be arriving on the noon train. Knowing the outlaw and his gang are coming to kill him, Kane is determined to stand his ground, so he attempts to gather a posse from among the local townspeople.",17.538,/bc1x6kIO9oF30y3IMFuKMJV2uOj.jpg,The story of a man who was too proud to run!,"Western, Drama","Stanley Kramer Productions, United Artists",United States of America,"English, French, Italian","gunslinger, showdown, fistfight, u.s. marshal, shootout, morality, black and white, battle, justice, one against many, quick draw, brawl, ticking clock"
3245,451945,BPM (Beats per Minute),7.723,1274,Released,2017-08-23,7632420,135,False,/1pyUrlbTVCkGkcu7LsGMqxuCtkP.jpg,6600000,tt6135348,fr,120 battements par minute,"Paris, in the early 1990s: a group of young activists is desperately tied to finding the cure against an unknown lethal disease. They target the pharmaceutical labs that are retaining potential cures, and multiply direct actions, with the hope of saving their lives as well as the ones of future generations.",13.289,/azLtGx5ZhdTSP2b4oNLWtiE51OW.jpg,,Drama,"France 3 Cinéma, Memento Films Production, Page 114, Les Films de Pierre, Playtime",France,French,"paris, france, aids, europe, laboratory, lgbt, cure, pharmaceuticals, 1990s, gay theme"
3265,11878,Yojimbo,8.121,1265,Released,1961-04-25,0,110,False,/zd7mu6dJKxkVtBdXqlEQ9W3msKl.jpg,0,tt0055630,ja,用心棒,"A nameless ronin, or samurai with no master, enters a small village in feudal Japan where two rival businessmen are struggling for control of the local gambling trade. Taking the name Sanjuro Kuwabatake, the ronin convinces both silk merchant Tazaemon and sake merchant Tokuemon to hire him as a personal bodyguard, then artfully sets in motion a full-scale gang war between the two ambitious and unscrupulous men.",19.091,/tN7kYPjRhDolpui9sc9Eq9n5b2O.jpg,Seven Samurai if it Was Just One Samurai!,"Drama, Thriller",TOHO,Japan,Japanese,"japan, samurai, swordplay, gambling, sword, bodyguard, black and white, fighting, family, intrigue, ronin, criterion, jidaigeki, revolver, edo period, feudal japan, 19th century, asian western"
3267,374473,"I, Daniel Blake",7.747,1264,Released,2016-10-21,15793051,100,False,/2BHjCq5fonp5r16qxGZ9VS3pHtw.jpg,0,tt5168192,en,"I, Daniel Blake","A middle aged carpenter, who requires state welfare after injuring himself, is joined by a single mother in a similar scenario.",10.364,/nu3WVABXz2W85N6JXTZOT1aWS3b.jpg,,Drama,"Why Not Productions, Wild Bunch, Sixteen Films, Les Films du Fleuve, BFI, BBC Film","Belgium, France, United Kingdom",English,"northern england, heart attack, single mother, compassion, carpenter, social services, welfare, social realism, social security, healthcare, desperate, labor rights"
3269,903,Cool Hand Luke,7.7,1264,Released,1967-11-01,16217773,127,False,/yW9mPUhrsIzKvogNJKQKuWO8fJO.jpg,3200000,tt0061512,en,Cool Hand Luke,"When petty criminal Luke Jackson is sentenced to two years in a Florida prison farm, he doesn't play by the rules of either the sadistic warden or the yard's resident heavy, Dragline, who ends up admiring the new guy's unbreakable will. Luke's bravado, even in the face of repeated stints in the prison's dreaded solitary confinement cell, ""the box,"" make him a rebel hero to his fellow convicts and a thorn in the side of the prison officers.",23.354,/4ykzTiHKLamh3eZJ8orVICtU2Jp.jpg,What we've got here is failure to communicate.,"Crime, Drama","Jalem Productions, Warner Bros. Pictures",United States of America,English,"prison, dying and death, florida, based on novel or book, escape, loss of loved one, rebel, harassment, imprisonment, barbed wire, gay interest, death, prison farm"
